what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418294909281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418294943947
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418294944062
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1418294951056
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1418294954524
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1418294954572
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1418294954595
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1418294954596
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1418294954614
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1418294954641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418294954749
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418294956504
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418294962913
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1418294976860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418294976871
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418294977131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418294979374
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1418294979455
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1418294979473
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1418294979507
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1418294979509
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1418294979553
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1418294979565
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418294997053
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418295006259
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1418295006293
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1418295006423
error,log,,,"Unhandled event loop exception",1418295006492
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295012150
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1418295020428
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295020438
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295046137
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295050582
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295053322
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295070751
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418295074189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295080647
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295100208
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418295106478
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295109424
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1418295120284
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295120294
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418295123685
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418295129907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295132954
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1418295135811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295135822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295147692
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1418295148604
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295148614
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295155423
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295594656
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1418295616515
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1418295616564
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295626886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295634567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295638179
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1418295653541
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295653551
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418295656502
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418295677256
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418295681784
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418295681804
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295697415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295782271
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295792423
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295794459
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418295810999
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295812989
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418295814707
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295814718
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418295844174
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418295852194
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295872807
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418295873746
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295873758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295884608
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295914588
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295945729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295952185
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295968083
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295975348
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295992298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295994843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418295998489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296000579
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418296005057
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418296007242
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296010336
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296027679
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418296033489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296043024
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1418296044548
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1418296044548
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296044560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296058532
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296100660
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296108575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296400752
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296421600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296424642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296430174
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296474897
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296482747
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296591296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296597043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296612174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418296630685
